"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2023","0.41","0.42","0.41","0.41","7.22M","-2.38%"
"10/25/2023","0.42","0.42","0.42","0.42","2.06M","0.00%"
"10/24/2023","0.42","0.42","0.42","0.42","7.15M","0.00%"
"10/23/2023","0.42","0.41","0.42","0.42","573.65K","2.44%"
"10/20/2023","0.41","0.42","0.42","0.41","2.14M","-2.38%"
"10/19/2023","0.42","0.42","0.42","0.41","1.24M","0.00%"
"10/18/2023","0.42","0.43","0.44","0.42","3.01M","-2.33%"
"10/17/2023","0.43","0.42","0.43","0.42","1.70M","2.38%"
"10/16/2023","0.42","0.42","0.42","0.42","888.10K","0.00%"
"10/13/2023","0.42","0.42","0.44","0.42","124.86K","0.00%"
"10/12/2023","0.42","0.42","0.45","0.42","7.32M","0.00%"
"10/11/2023","0.42","0.43","0.44","0.42","9.22M","-2.33%"
"10/10/2023","0.43","0.43","0.45","0.42","153.97K","0.00%"
"10/09/2023","0.43","0.43","0.43","0.43","785.13K","0.00%"
"10/06/2023","0.43","0.43","0.43","0.43","145.05K","0.00%"
"10/05/2023","0.43","0.44","0.44","0.42","3.30M","-2.27%"
"10/04/2023","0.44","0.43","0.44","0.43","3.44M","2.33%"
"10/03/2023","0.43","0.43","0.44","0.43","1.45M","0.00%"
"09/29/2023","0.43","0.42","0.43","0.43","382.24K","2.38%"
"09/28/2023","0.42","0.43","0.44","0.42","4.41M","-2.33%"
"09/26/2023","0.43","0.43","0.43","0.42","5.17M","0.00%"
"09/25/2023","0.43","0.47","0.44","0.43","6.05M","-8.51%"
"09/22/2023","0.47","0.47","0.47","0.47","2.14M","0.00%"
"09/21/2023","0.47","0.43","0.47","0.47","561.65K","9.30%"
"09/20/2023","0.43","0.43","0.46","0.43","102.34K","0.00%"
"09/19/2023","0.43","0.42","0.46","0.42","3.40M","2.38%"
"09/18/2023","0.42","0.44","0.44","0.42","3.95M","-4.55%"
"09/15/2023","0.44","0.41","0.44","0.42","2.29M","7.32%"
"09/14/2023","0.41","0.41","0.42","0.40","22.54M","0.00%"
"09/13/2023","0.41","0.43","0.41","0.41","716.18K","-4.65%"
"09/12/2023","0.43","0.45","0.44","0.43","936.93K","-4.44%"
"09/11/2023","0.45","0.47","0.45","0.45","462.11K","-4.26%"
"09/08/2023","0.47","0.44","0.47","0.45","740.77K","6.82%"
"09/07/2023","0.44","0.44","0.47","0.45","131.81K","0.00%"
"09/06/2023","0.44","0.45","0.44","0.44","820.40K","-2.22%"
"09/05/2023","0.45","0.45","0.45","0.45","387.31K","0.00%"
"09/04/2023","0.45","0.48","0.48","0.45","2.38M","-6.25%"
"09/01/2023","0.48","0.44","0.48","0.48","388.36K","9.09%"
"08/31/2023","0.44","0.46","0.44","0.44","1.31M","-4.35%"
"08/30/2023","0.46","0.46","0.46","0.46","340.94K","0.00%"
"08/29/2023","0.46","0.42","0.46","0.42","2.93M","9.52%"
"08/28/2023","0.42","0.41","0.42","0.41","3.78M","2.44%"
"08/25/2023","0.41","0.45","0.42","0.41","6.61M","-8.89%"
"08/24/2023","0.45","0.43","0.45","0.43","1.26M","4.65%"
"08/23/2023","0.43","0.37","0.44","0.37","3.42M","4.88%"
"08/22/2023","0.41","0.44","0.41","0.40","3.31M","-6.82%"
"08/21/2023","0.44","0.44","0.47","0.43","188.20K","0.00%"
"08/18/2023","0.44","0.46","0.45","0.43","3.22M","-4.35%"
"08/17/2023","0.46","0.46","0.47","0.46","980.49K","0.00%"
"08/16/2023","0.46","0.46","0.46","0.46","1.03M","0.00%"
"08/15/2023","0.46","0.47","0.47","0.46","1.74M","-2.13%"
"08/14/2023","0.47","0.47","0.49","0.45","202.34K","0.00%"
"08/11/2023","0.47","0.51","0.50","0.46","2.39M","-7.84%"
"08/10/2023","0.51","0.51","0.51","0.50","576.99K","0.00%"
"08/09/2023","0.51","0.48","0.51","0.51","294.13K","6.25%"
"08/08/2023","0.48","0.52","0.52","0.48","534.04K","-7.69%"
"08/07/2023","0.52","0.52","0.52","0.49","3.56M","0.00%"
"08/04/2023","0.52","0.49","0.52","0.50","3.68M","6.12%"
"08/03/2023","0.49","0.48","0.50","0.49","458.28K","2.08%"
"08/02/2023","0.48","0.53","0.48","0.48","906.92K","-9.43%"
"08/01/2023","0.53","0.52","0.53","0.53","353.30K","1.92%"
"07/31/2023","0.52","0.50","0.53","0.49","6.29M","4.00%"
"07/28/2023","0.50","0.49","0.50","0.47","1.76M","2.04%"
"07/27/2023","0.49","0.51","0.51","0.49","625.00K","-3.92%"
"07/26/2023","0.51","0.50","0.51","0.50","3.40M","2.00%"
"07/25/2023","0.50","0.50","0.50","0.50","792.73K","0.00%"
"07/24/2023","0.50","0.45","0.53","0.45","4.83M","0.00%"
"07/21/2023","0.50","0.50","0.53","0.49","1.44M","0.00%"
"07/20/2023","0.50","0.49","0.50","0.49","8.45M","2.04%"
"07/19/2023","0.49","0.49","0.53","0.48","42.63K","0.00%"
"07/18/2023","0.49","0.49","0.49","0.49","2.28M","0.00%"
"07/17/2023","0.49","0.45","0.49","0.43","2.13M","8.89%"
"07/14/2023","0.45","0.49","0.49","0.45","4.86M","-8.16%"
"07/13/2023","0.49","0.54","0.52","0.49","8.14M","-9.26%"
"07/12/2023","0.54","0.59","0.63","0.54","14.14M","-8.47%"
"07/11/2023","0.59","0.59","0.63","0.56","5.83M","0.00%"
"07/10/2023","0.59","0.54","0.59","0.55","10.21M","9.26%"
"07/07/2023","0.54","0.50","0.55","0.50","10.34M","8.00%"
"07/06/2023","0.50","0.54","0.55","0.50","3.44M","-7.41%"
"07/05/2023","0.54","0.60","0.58","0.54","6.15M","-10.00%"
"07/04/2023","0.60","0.58","0.61","0.57","7.58M","3.45%"
"07/03/2023","0.58","0.53","0.58","0.54","9.12M","9.43%"
"06/30/2023","0.53","0.49","0.53","0.51","19.62M","8.16%"
"06/27/2023","0.49","0.45","0.49","0.44","4.03M","8.89%"
"06/26/2023","0.45","0.45","0.46","0.45","5.87M","0.00%"
"06/23/2023","0.45","0.49","0.46","0.45","5.06M","-8.16%"
