"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2022","277.00","277.00","277.00","277.00","119.77K","0.00%"
"06/16/2022","277.00","277.00","277.00","277.00","41.91K","0.00%"
"06/15/2022","277.00","277.00","277.00","277.00","335.35K","0.00%"
"06/14/2022","277.00","277.00","277.00","277.00","63.89K","0.00%"
"06/10/2022","277.00","277.00","277.00","277.00","26.05K","0.00%"
"06/09/2022","277.00","277.00","277.00","277.00","87.38K","0.00%"
"06/08/2022","277.00","277.00","277.00","277.00","124.77K","0.00%"
"06/07/2022","277.00","277.00","277.00","277.00","24.55K","0.00%"
"06/06/2022","277.00","277.00","277.00","277.00","561.07K","0.00%"
"06/03/2022","277.00","277.00","277.00","277.00","303.50K","0.00%"
"06/02/2022","277.00","277.00","277.00","277.00","693.84K","0.00%"
